id,name
offer_name_144,NR_Integrated Plant Engineering_On_Premise
offer_name_145,NR_Lean Mine Construction_On_Premise
offer_name_146,NR_Perfect Mine and Plant_On_Premise
offer_name_147,PLM Express_CATIA V5 PLM Express Edition 3 _On_Premise
offer_name_148,PLM Express_DELMIA V5 PLM Express products_On_Premise
offer_name_149,PLM Express_V6 PLM Express Products_On_Premise
offer_name_150,QUINTIQ_Quintiq_On_Premise
offer_name_151,SIMULIA_Private Cloud Simulation_Public_Cloud
offer_name_152,SIMULIA_Public Cloud Simulation_Public_Cloud
offer_name_153,SIMULIA_Simulation_On_Premise
offer_name_154,SIMULIA_SIMULIA Abaqus Unified FEA_On_Premise
offer_name_155,SIMULIA_SIMULIA Isight_On_Premise
offer_name_156,SIMULIA_SIMULIA Simpack_On_Premise
offer_name_157,SIMULIA_SIMULIA Simpoe_On_Premise
offer_name_158,SIMULIA_SIMULIA Tosca_On_Premise
offer_name_159,SIMULIA_SIMULIA V5_On_Premise
offer_name_160,SIMULIA_SIMULIA V6_On_Premise
offer_name_161,SOLIDWORKS_DraftSight Services_On_Premise
offer_name_162,TM_Bid to Win for Mid-Market_On_Premise
offer_name_163,TM_Bid to Win for Mid-Market_Public_Cloud
offer_name_164,TM_Bid to Win_On_Premise
offer_name_165,TM_Global Validation Proven Performance_On_Premise
offer_name_166,TM_Innovation on Track_On_Premise
offer_name_167,"TM_Modular, Glocal & Secure_On_Premise"
offer_name_168,"TM_Smart, Safe & Connected_On_Premise"
offer_name_169,TM_Target Zero Defect_On_Premise
